精灵名,形态,状态,属性,S2生命,S2物攻,S2魔攻,S2物防,S2魔防,S2速度,S2总和
叶冕魔力猫,首领,新增,草,108,127,127,81,151,55,649
烈火战神,首领,新增,火,117,175,84,94,72,130,672
圣水守护,首领,新增,水,125,67,141,104,145,85,667
鸭吉吉,蓬松的样子,变化,普通,136,95,35,55,45,105,471
鸭吉吉,紧实的样子,变化,普通,136,35,95,45,55,105,471
鸭吉吉,急急急鸭,变化,普通,130,95,35,55,45,110,470
鸭吉吉,等一等鸭,变化,普通,137,35,94,46,57,100,469
鸭吉吉,起来鸭,变化,普通,107,53,125,80,113,100,578
鸭吉吉国王,首领形态,新增,普通,60,60,60,60,60,60,360
鸭吉吉国王,蓬松的样子,新增,普通,136,135,50,79,64,105,569
鸭吉吉国王,紧实的样子,新增,普通,136,50,135,64,79,105,569
鸭吉吉国王,急急急鸭,新增,普通,130,136,50,79,64,110,569
鸭吉吉国王,等一等鸭,新增,普通,137,50,134,66,82,100,569
鸭吉吉国王,燃了鸭,新增,普通,108,127,58,105,69,115,582
鸭吉吉国王,起来鸭,新增,普通,107,77,163,80,113,100,640
板板壳,一阶,变化,水,67,28,72,64,81,45,357
咔咔壳,二阶,变化,水,90,37,96,85,107,60,475
水泡壳,三阶,变化,水,112,46,120,107,134,75,594
雪绒鸟,春天的样子,变化,翼,56,77,26,58,49,69,335
雪绒鸟,夏天的样子,变化,翼,59,80,32,58,41,69,339
雪绒鸟,一阶,变化,翼,54,77,33,65,44,69,342
冬羽雀,二阶,变化,翼,72,103,44,86,59,92,456
冬羽雀,春天的样子,变化,翼,75,103,35,78,65,92,448
冬羽雀,夏天的样子,变化,翼,79,107,43,77,55,92,453
岚鸟,三阶,变化,翼,90,128,55,108,74,115,570
岚鸟,春天的样子,变化,翼,93,128,44,97,81,115,558
岚鸟,夏天的样子,变化,翼,99,133,54,96,69,115,566
霜翼领主,首领,新增,翼,90,142,63,108,74,115,592
霜翼领主,春天的样子,新增,翼,93,142,52,97,81,115,580
霜翼领主,夏天的样子,新增,翼,99,147,62,96,69,115,588
霜翼领主,秋天的样子,新增,翼,90,141,50,98,85,115,579
石肤蜥,一阶,变化,地,69,54,53,65,45,57,343
石刺蜥,二阶,变化,地,92,72,71,87,60,76,458
石冠王蜥,三阶,新增,地,115,89,89,109,75,95,572
石冠王蜥,球球尾巴的样子,新增,地,113,90,89,106,74,100,572
迷嶂布莱克,首领,新增,地,125,139,52,164,154,70,704
恶魔叮,一阶,变化,恶,90,100,42,80,56,84,452
叮叮恶魔,二阶,变化,"恶,翼",117,125,53,103,73,105,576
化蝶,平常的样子,变化,虫,53,46,46,66,66,100,377
化蝶,幽冥眼的样子,变化,虫,43,42,42,67,70,105,369
化蝶,喵喵的样子,变化,虫,49,47,41,67,67,95,366
幻影荆棘,首领,新增,幽,113,96,96,66,125,80,576
晶石蜗,西瓜碧玺的样子,变化,光,99,96,101,128,94,65,583
晶石蜗,莲花刚玉的样子,变化,光,94,97,101,137,91,65,585
晶石蜗,星彩榴石的样子,变化,光,97,101,101,128,91,65,583
晶石蜗,火山琉璃的样子,变化,光,97,97,101,132,91,65,583
晶石蜗,蓝锥矿的样子,变化,光,99,97,107,124,91,65,583
钻石蜗,西瓜碧玺的样子,新增,光,93,96,101,124,91,65,570
钻石蜗,莲花刚玉的样子,新增,光,89,97,101,133,88,65,573
钻石蜗,星彩榴石的样子,新增,光,92,101,101,124,88,65,571
钻石蜗,火山琉璃的样子,新增,光,92,97,101,128,88,65,571
钻石蜗,蓝锥矿的样子,新增,光,94,97,107,121,88,65,572
钻石蜗,烧蓝黄金的样子,新增,光,89,97,102,126,88,70,572
奇丽果,首领,新增,草,112,128,128,133,105,80,686
丢丢,草地附近的样子,变化,草,44,45,12,49,40,78,268
丢丢,沙地附近的样子,变化,草,44,42,12,55,43,75,271
丢丢,雪山附近的样子,变化,草,46,41,8,48,44,81,268
卡卡虫,草地附近的样子,变化,草,59,60,16,65,53,104,357
卡卡虫,沙地附近的样子,变化,草,58,56,16,74,57,100,361
卡卡虫,雪山附近的样子,变化,草,62,54,11,64,58,108,357
卡瓦重,草地附近的样子,变化,草,74,75,20,81,67,130,447
卡瓦重,沙地附近的样子,变化,草,73,70,20,92,71,125,451
卡瓦重,雪山附近的样子,变化,草,77,68,14,79,73,135,446
风暴战犬,首领,新增,火,85,128,46,101,82,120,562
绿耳松鼠,一阶,新增,普通,69,50,47,67,52,48,333
暗影灵面,睁眼的样子,变化,幽,74,40,96,78,108,92,488
幽冥眼,睁眼的样子,变化,幽,92,50,120,98,135,115,610
梦游,穿旧睡衣的样子,变化,幽,90,52,125,60,74,92,493
梦悠悠,穿旧睡衣的样子,变化,幽,113,65,157,75,93,115,618
蹦蹦种子,海神球形态,变化,草,60,64,66,44,63,51,348
蹦蹦种子,彩玉球形态,变化,草,62,61,66,44,63,51,347
蹦蹦种子,短毛球形态,变化,草,57,62,66,48,67,48,348
蹦蹦草,海神球形态,变化,草,80,85,88,59,84,68,464
蹦蹦草,彩玉球形态,变化,草,83,81,87,59,84,68,462
蹦蹦草,短毛球形态,变化,草,76,82,87,64,90,64,463
蹦蹦花,海神球形态,变化,草,100,107,110,73,105,85,580
蹦蹦花,彩玉球形态,变化,草,103,101,109,73,105,85,576
蹦蹦花,短毛球形态,变化,草,95,103,109,80,112,80,579
蹦蹦果,海神球形态,新增,草,100,87,90,73,105,85,540
蹦蹦果,彩玉球形态,新增,草,103,82,89,73,105,85,537
蹦蹦果,短毛球形态,新增,草,95,84,89,80,112,80,540
蹦蹦果,象牙球形态,新增,草,99,81,90,73,106,90,539
海盔虫,一阶,变化,水,71,25,59,46,66,60,327
刺盔虫,二阶,变化,水,94,33,79,61,88,80,435
千棘盔,三阶,变化,水,118,41,99,76,111,100,545
千棘海针,首领,新增,水,118,32,85,94,133,100,562
千棘海针,磨损的样子,新增,水,117,32,86,91,129,105,560
小星光,星光能量的样子,变化,电,60,81,85,72,88,108,494
星光狮,星光能量的样子,变化,电,75,101,106,90,110,135,617
女王蜂,首领,新增,虫,145,50,45,42,42,40,364
锤头鹳,一阶,变化,"翼,水",128,77,75,101,81,105,567
深渊罗隐,首领,新增,地,107,159,78,167,32,75,618
风铃鲨,一阶,变化,水,54,59,59,63,63,75,373
蓝蝶鲨,二阶,变化,水,72,78,78,84,84,100,496
彩蝶鲨,三阶,变化,"水,翼",90,98,98,105,105,125,621
神谕鲨,首领形态·第3阶段,新增,水,60,60,60,60,60,60,360
仪使者,一阶,变化,地,64,50,54,69,71,51,359
仪式之星,二阶,变化,地,85,67,71,92,95,68,478
仪式巨像,三阶,变化,"地,幻",106,84,89,115,119,85,598
祭礼巨像,首领,新增,地,106,96,101,115,119,85,622
彩虹独角兽,首领,新增,光,99,78,192,77,92,105,643
旋叶虫,金黄的样子,变化,普通,56,15,65,63,55,72,326
蓬叶虫,金黄的样子,变化,普通,74,19,87,84,73,96,433
风滚暮虫,金黄的样子,变化,普通,93,24,109,105,91,120,542
小黑猫,一阶,变化,普通,119,42,99,72,103,56,491
黑猫巫师,二阶,变化,普通,149,53,124,90,129,70,615
黑猫密探,首领,新增,普通,149,65,143,90,129,70,646
多多,一阶,变化,毒,51,53,53,80,44,54,335
多啦多,二阶,变化,毒,68,70,70,107,59,72,446
古啦多,三阶,变化,"毒,地",85,88,88,134,74,90,559
恶魔狼王,首领,新增,恶,115,121,50,91,63,120,560
